VALANDOS,KAINA,RŪŠIAVIMAS,ĮKRAUTI,IŠKRAUTI
0,0.045,2,start,null
1,0.065,6,null,null
2,0.056,4,start,null
3,0.057,5,start,null
4,0.046,3,start,null
5,0.069,7,null,null
6,0.098,9,null,null
7,0.14,18,null,null
8,0.159,20,null,start
9,0.162,21,null,start
10,0.143,19,null,start
11,0.117,14,null,null
12,0.105,11,null,null
13,0.103,10,null,null
14,0.095,8,null,null
15,0.109,12,null,null
16,0.117,15,null,null
17,0.139,17,null,null
18,0.172,22,null,start
19,0.204,24,null,start
20,0.2,23,null,start
21,0.11,13,null,null
22,0.12,16,null,null
23,0.035,1,start,null
